CPUUtilization,DiskReadOps,DiskWriteOps,NetworkIn,NetworkOut
16.76,1008,1088,41313.0,8452.0
19.09,945,1219,2993.0,7392.0
29.99,1413,736,33910.0,2964.0
70.38,1447,736,37057.0,20255.0
26.87,966,1312,35317.0,17039.0
49.54,1058,852,29876.0,37092.0
18.37,898,1212,48450.0,37134.0
61.53,1089,1065,1274.0,1583.0
80.8,1410,725,30192.0,42703.0
70.01,1219,1263,49925.0,34853.0
67.05,590,703,25735.0,20963.0
88.34,755,1483,17868.0,3612.0
77.31,544,960,19066.0,30144.0
72.14,1063,707,38011.0,11075.0
46.13,650,835,29059.0,24284.0
48.19,786,802,44354.0,34971.0
71.93,1396,727,15896.0,46384.0
25.31,1398,1280,3754.0,4892.0
18.29,549,1483,8661.0,30225.0
29.5,612,1266,5183.0,42532.0
33.99,571,1122,39246.0,25110.0
34.2,1447,1044,26771.0,41477.0
79.76,1112,540,48104.0,24069.0
58.88,1467,610,27864.0,31020.0
64.73,1393,938,10965.0,49810.0
32.45,1439,1186,3346.0,9500.0
59.6,541,854,45868.0,46457.0
25.51,1174,757,23829.0,19780.0
15.87,1474,1333,28896.0,40904.0
19.52,675,1278,31589.0,8237.0
62.15,1279,1053,32615.0,11165.0
83.7,777,936,33104.0,4725.0
86.1,1479,703,22608.0,30382.0
34.45,561,596,14286.0,13659.0
82.51,1159,1142,47510.0,41104.0
55.87,606,1048,46475.0,6637.0
12.4,700,1035,6335.0,43694.0
46.58,1189,579,17141.0,25460.0
46.46,795,1019,8420.0,41608.0
69.62,1264,1027,13045.0,48792.0
67.63,1367,1137,43087.0,34488.0
18.12,1208,1267,47103.0,8893.0
27.71,833,658,31389.0,33042.0
36.94,1144,1360,20430.0,1341.0
22.46,971,926,28981.0,14704.0
54.26,1268,1310,17886.0,3806.0
40.64,762,834,16728.0,4432.0
81.26,675,638,26654.0,31871.0
47.99,1068,585,14662.0,37157.0
22.96,998,721,6314.0,5527.0
20.43,1068,1451,37666.0,35604.0
29.17,1259,609,11668.0,45350.0
78.88,515,630,12425.0,19308.0
57.2,1294,1424,5856.0,41124.0
49.33,1355,1170,28379.0,34824.0
26.12,934,1105,12584.0,12516.0
53.53,548,920,33809.0,30747.0
85.53,1280,1122,27887.0,25959.0
16.02,1136,829,10840.0,31338.0
36.61,609,666,21419.0,37081.0
71.16,1072,1200,31400.0,28402.0
32.17,1207,651,7197.0,10749.0
35.98,617,1477,15215.0,19967.0
71.46,744,764,42582.0,16132.0
65.8,1400,950,4126.0,7385.0
64.6,532,1191,28061.0,40072.0
38.33,648,1407,25365.0,9874.0
72.62,716,857,41087.0,24390.0
28.75,1197,1268,44181.0,2036.0
68.46,785,1183,16408.0,49182.0
17.62,874,1450,11460.0,21303.0
74.74,990,718,4600.0,20691.0
82.62,853,937,47756.0,3927.0
67.72,1374,1318,29987.0,16890.0
82.66,883,1181,8144.0,49360.0
68.25,550,773,1316.0,11295.0
62.91,1221,827,6203.0,11620.0
50.2,525,1147,46362.0,3341.0
65.61,827,857,17972.0,28424.0
30.67,1147,965,19948.0,16536.0
30.2,564,1092,24724.0,13786.0
42.92,1359,1007,15551.0,33477.0
84.58,1335,1360,49483.0,32427.0
82.92,785,1261,44918.0,37282.0
31.55,547,643,18722.0,12619.0
63.17,728,1098,47375.0,46009.0
23.28,831,863,1546.0,13993.0
81.74,561,747,35660.0,43983.0
44.25,635,1256,42901.0,30865.0
14.56,1160,515,49934.0,27144.0
56.49,1112,712,36543.0,41167.0
60.89,1396,1019,32326.0,40669.0
16.4,791,1360,40143.0,26058.0
52.91,1364,904,48962.0,12306.0
54.75,1273,900,41441.0,13514.0
69.0,1308,889,38518.0,18201.0
80.44,720,673,1227.0,21883.0
48.53,830,1223,21194.0,15790.0
49.82,681,982,41962.0,29933.0
73.88,1434,687,42760.0,1757.0
67.06,940,674,8099.0,47910.0
36.82,1166,1342,18859.0,49181.0
43.19,731,1164,31000.0,1786.0
39.02,1256,1442,22906.0,9171.0
36.88,1307,1076,5833.0,4424.0
89.43,761,639,15843.0,27677.0
27.39,1091,1384,16899.0,34767.0
25.98,694,1124,45465.0,5615.0
53.21,1331,995,43060.0,24183.0
59.61,635,621,42723.0,10675.0
44.91,1314,1228,25034.0,48241.0
84.72,580,1124,2167.0,17486.0
68.55,573,1272,23639.0,15164.0
26.77,898,1219,43793.0,37051.0
32.94,1448,1160,29092.0,48231.0
26.44,1170,624,7979.0,25799.0
24.67,1384,742,13069.0,41052.0
25.48,1126,624,27283.0,41030.0
79.49,1103,1470,22257.0,30996.0
56.99,956,645,30368.0,23259.0
15.16,1171,1398,36330.0,5798.0
81.25,823,1437,2323.0,32173.0
18.26,1357,759,17186.0,36274.0
87.63,585,710,2157.0,24567.0
76.07,772,598,18089.0,3601.0
55.97,600,1148,13632.0,22135.0
26.53,1397,1426,49634.0,42382.0
24.86,925,844,14830.0,29027.0
22.08,534,528,32684.0,4778.0
25.87,938,1022,39096.0,5173.0
74.23,673,946,37666.0,16326.0
71.55,1489,934,39784.0,3828.0
55.9,1214,521,3785.0,23052.0
13.45,1130,1421,5350.0,10882.0
29.76,845,1256,14909.0,18981.0
37.73,1240,960,15342.0,9050.0
25.1,1476,975,46819.0,19951.0
55.94,799,1486,22640.0,23820.0
15.27,694,1123,20612.0,9172.0
19.73,718,638,20278.0,39095.0
32.44,1494,850,28312.0,12798.0
70.38,1372,1049,40590.0,13958.0
89.47,1070,1194,12147.0,47209.0
22.51,1329,1481,47509.0,17572.0
17.37,1379,790,40477.0,37462.0
23.97,829,991,22390.0,22670.0
44.93,1297,1329,43008.0,40292.0
28.81,826,927,34436.0,27650.0
65.12,847,692,36204.0,43326.0
72.43,508,1368,32693.0,47107.0
80.76,890,718,31665.0,43747.0
54.14,1392,668,41271.0,47469.0
37.89,672,602,28369.0,20448.0
73.7,1041,1023,3593.0,21317.0
57.3,1267,1311,34856.0,49013.0
48.02,508,794,21638.0,3576.0
15.46,1038,568,41209.0,47464.0
35.87,1083,1333,13240.0,7433.0
79.78,1224,1421,7072.0,28350.0
19.57,721,765,23429.0,41640.0
87.33,583,1459,23152.0,7560.0
80.2,1420,1038,48203.0,47948.0
80.33,1238,1104,3220.0,27990.0
50.12,1172,504,2855.0,6956.0
21.37,1084,722,39533.0,25365.0
27.35,1011,1392,11554.0,49216.0
40.52,1428,1295,12709.0,26685.0
51.78,1179,904,21759.0,17428.0
35.97,1236,523,10581.0,30747.0
12.26,1445,1238,28182.0,45137.0
32.3,963,1450,25134.0,41077.0
36.18,653,1019,21352.0,28779.0
52.95,1399,1159,33343.0,7585.0
20.69,1328,1245,26426.0,4611.0
87.2,871,1168,2724.0,24340.0
69.97,976,1013,46612.0,28306.0
72.86,1360,636,44491.0,21486.0
67.91,655,582,40947.0,37660.0
62.01,820,788,34381.0,20549.0
48.23,967,1258,42519.0,16846.0
77.67,840,1357,32107.0,45500.0
52.21,644,563,43863.0,30067.0
81.15,1161,695,48022.0,8978.0
54.72,924,990,21421.0,28158.0
73.16,544,902,2763.0,16157.0
29.74,682,1286,44219.0,48041.0
45.96,741,907,11411.0,33910.0
87.3,977,762,44947.0,29200.0
27.04,517,526,33133.0,16790.0
17.6,1168,1461,1765.0,29903.0
63.58,1479,1465,13259.0,10987.0
80.71,970,1489,2155.0,46933.0
13.41,656,841,29189.0,18765.0
16.64,616,941,43860.0,33561.0
34.36,848,1136,10931.0,17009.0
78.13,576,1328,44421.0,10361.0
51.46,883,1273,14403.0,49506.0
38.19,1114,1090,29974.0,12153.0
84.5,663,1106,39408.0,42342.0
72.44,1252,920,2319.0,10878.0
18.99,972,944,7720.0,35442.0
28.22,1104,904,18659.0,35507.0
59.65,1015,1064,46937.0,29466.0
88.4,513,1147,30481.0,30826.0
14.25,673,1397,19427.0,11153.0
65.92,1093,1101,4542.0,49073.0
58.23,1380,663,35482.0,30959.0
47.74,620,1241,42712.0,42437.0
42.71,783,1220,8966.0,25360.0
67.85,967,834,47525.0,6594.0
76.07,1256,1422,32259.0,14068.0
74.5,714,816,16651.0,14445.0
43.63,1058,1373,26704.0,24096.0
25.72,797,825,46313.0,22387.0
38.02,571,896,45403.0,27102.0
12.83,1285,956,5841.0,7798.0
72.59,902,1485,41171.0,38128.0
17.94,1069,1359,43628.0,9165.0
55.17,1254,760,7461.0,47857.0
70.31,633,1303,28719.0,8989.0
70.6,759,761,43787.0,14132.0
37.9,1243,1479,34337.0,39434.0
26.78,682,1140,30671.0,11460.0
69.11,1182,933,8491.0,31266.0
65.75,657,872,42068.0,26838.0
52.32,855,649,23541.0,34844.0
52.76,630,943,17586.0,29606.0
54.86,504,937,18388.0,8166.0
86.3,1221,1409,40319.0,15623.0
89.22,925,940,34778.0,31182.0
14.67,1164,1119,36830.0,6779.0
25.84,923,1155,1577.0,38949.0
57.51,1255,1337,41388.0,37696.0
22.58,955,922,15826.0,40535.0
28.92,739,1118,16182.0,22091.0
30.12,628,1208,28900.0,38401.0
84.53,996,557,14796.0,10809.0
34.55,1155,1173,22838.0,2160.0
30.02,650,1096,13247.0,31477.0
64.94,502,1244,8290.0,40815.0
28.94,750,1310,48412.0,14943.0
54.39,597,979,32115.0,1657.0
12.44,1056,1127,14788.0,28523.0
45.55,1005,964,49044.0,31618.0
16.15,862,1429,19683.0,37588.0
67.73,1456,1045,25217.0,44365.0
51.98,617,835,1746.0,39075.0
62.81,588,1430,7424.0,32052.0
28.44,656,1224,49974.0,27941.0
36.01,835,994,46868.0,8487.0
78.89,1370,1066,12496.0,3346.0
33.13,1268,601,20598.0,40145.0
32.33,1360,1495,34801.0,37729.0
54.69,1458,842,24637.0,4158.0
85.4,538,890,5926.0,12982.0
15.87,616,706,42250.0,26905.0
12.07,1473,657,26732.0,42790.0
58.24,1039,632,30663.0,15672.0
16.92,1130,805,16351.0,1519.0
41.6,1245,1041,26225.0,14868.0
67.3,573,658,37964.0,18163.0
37.2,1027,1400,22834.0,31192.0
56.76,987,878,13391.0,23856.0
45.41,1369,1170,49169.0,27730.0
30.25,716,1405,40268.0,47918.0
67.06,895,520,31957.0,8212.0
79.99,720,690,4875.0,4262.0
21.87,1392,1485,38594.0,7689.0
37.18,813,918,3468.0,21058.0
37.72,1164,1101,5068.0,19708.0
53.96,752,615,19700.0,33300.0
17.11,1094,1189,13906.0,42005.0
38.45,743,828,17601.0,14096.0
39.53,851,685,3744.0,19030.0
86.1,1282,1108,45987.0,9223.0
59.52,1335,895,16634.0,9092.0
82.66,1332,529,24482.0,42394.0
16.85,1474,1433,41418.0,39601.0
53.68,878,804,41516.0,35292.0
23.0,1226,619,22764.0,7052.0
49.42,1048,888,4178.0,25078.0
23.26,1099,1407,4387.0,41857.0
70.96,1265,1358,27846.0,24639.0
44.21,807,1478,17128.0,35803.0
35.73,1105,1186,12131.0,40068.0
47.37,1271,1268,32815.0,6267.0
15.47,1362,653,21626.0,41497.0
58.46,1491,939,11327.0,18550.0
77.0,515,1191,13799.0,31826.0
70.68,629,727,14562.0,23783.0
75.28,1262,1170,4571.0,40205.0
62.21,894,1360,17517.0,6214.0
30.2,1290,638,33192.0,9318.0
60.27,1232,1153,14908.0,29089.0
19.33,1403,1141,1518.0,26679.0
61.77,882,611,15566.0,35589.0
22.45,592,554,7613.0,37013.0
75.05,950,648,48211.0,40348.0
22.25,1308,1195,31312.0,17775.0
12.83,751,618,21697.0,23676.0
21.28,740,576,7904.0,34506.0
35.5,1121,1273,40586.0,10197.0
83.92,1158,810,39580.0,20168.0
85.5,919,1371,42859.0,27110.0
15.45,625,1129,23576.0,3088.0
88.03,558,557,26106.0,43361.0
59.14,1135,554,47707.0,29366.0
54.58,1154,564,35062.0,10146.0
41.61,596,728,2107.0,35965.0
51.9,1464,541,35504.0,19405.0
66.62,1251,893,39933.0,48691.0
24.5,617,1250,34903.0,18295.0
62.49,678,1128,36495.0,27810.0
11.75,834,873,20314.0,45925.0
29.01,1154,1091,3731.0,14291.0
37.16,933,1493,40888.0,33908.0
29.57,1325,1054,37737.0,21513.0
39.16,792,952,11140.0,30636.0
89.58,1318,983,18887.0,49972.0
71.3,582,541,32228.0,22602.0
19.15,1311,1176,2664.0,1441.0
20.75,1152,812,12384.0,46692.0
27.1,1402,1391,43753.0,3784.0
87.53,994,1281,36290.0,14251.0
34.65,1174,1140,30264.0,32016.0
34.05,1380,655,38038.0,38304.0
61.91,596,1019,19130.0,23967.0
17.78,853,980,21659.0,39391.0
76.17,1223,1491,24848.0,19723.0
28.66,897,1344,29608.0,6857.0
21.31,608,623,30080.0,1062.0
15.47,822,1407,1798.0,27523.0
21.39,1253,1371,31838.0,21328.0
84.48,706,1430,20827.0,9869.0
65.67,1274,1357,42101.0,26310.0
20.62,608,1427,39567.0,21310.0
51.31,1145,782,12190.0,31673.0
75.0,1295,1446,42075.0,40808.0
13.9,1347,931,13147.0,41073.0
22.95,639,672,32351.0,11916.0
32.24,1307,791,39348.0,19556.0
80.77,1050,868,2146.0,3132.0
16.86,1349,1226,18390.0,19412.0
11.25,635,700,16515.0,43881.0
84.3,1074,766,30779.0,39574.0
60.13,722,990,41484.0,6094.0
76.89,1406,1498,17376.0,48771.0
34.96,1068,1357,11317.0,45949.0
30.15,1226,945,1955.0,35995.0
56.49,1335,1110,21467.0,9215.0
54.91,777,1012,42143.0,19645.0
28.6,1424,1320,27535.0,33653.0
73.95,1424,1155,20184.0,11976.0
33.78,1427,976,43280.0,44973.0
78.99,697,1280,15610.0,20064.0
68.18,606,625,49114.0,13558.0
29.44,1411,987,34668.0,39886.0
18.18,820,1398,25676.0,48293.0
34.83,1037,1425,32719.0,47170.0
64.75,1351,1277,25654.0,40403.0
15.78,1039,1299,24153.0,18376.0
23.17,1379,533,44596.0,43697.0
83.41,512,1496,14310.0,33122.0
74.41,1078,1021,32154.0,29577.0
22.71,1033,1490,12418.0,39621.0
79.08,1150,912,17884.0,23310.0
22.36,978,1057,10835.0,20607.0
46.4,862,1410,34768.0,28015.0
30.69,908,1493,9594.0,30659.0
58.9,1258,1037,15851.0,45314.0
17.83,1317,1008,25217.0,19439.0
45.19,508,1470,32298.0,5171.0
41.54,1379,1370,11767.0,29224.0
72.05,1358,1337,49734.0,49912.0
49.2,904,892,10279.0,39195.0
23.12,1328,910,6471.0,27185.0
63.25,949,1442,48497.0,9693.0
89.34,932,962,23689.0,18283.0
44.08,1239,1345,30205.0,6721.0
55.66,860,1428,29989.0,38761.0
89.93,1385,536,11612.0,19920.0
79.4,1235,1470,31668.0,13429.0
18.1,1336,1450,30347.0,48631.0
72.53,992,758,21013.0,22347.0
57.36,1212,754,23040.0,2964.0
44.68,787,680,25662.0,6280.0
87.6,1463,1028,31811.0,21129.0
42.49,588,994,45932.0,38072.0
87.81,580,1325,10882.0,49456.0
23.21,1202,621,33391.0,20666.0
38.67,941,655,48552.0,40787.0
83.4,1422,1414,16290.0,31893.0
71.24,1027,879,26826.0,3701.0
64.8,1428,1262,23889.0,8662.0
86.64,838,959,38852.0,40010.0
26.02,794,638,15844.0,44022.0
40.77,725,524,32189.0,8806.0
85.03,633,1241,44096.0,38957.0
81.39,925,768,16970.0,16020.0
22.0,643,1130,48932.0,41470.0
52.3,1006,747,40374.0,3897.0
67.76,1216,1019,16157.0,17052.0
44.15,569,1023,4204.0,39944.0
72.54,885,858,32007.0,44398.0
47.94,1041,691,27000.0,46408.0
42.14,1095,692,5929.0,49905.0
42.62,635,605,36344.0,27194.0
69.43,615,1067,8027.0,3567.0
46.66,710,844,16440.0,47553.0
67.27,513,710,19552.0,5148.0
33.46,720,1447,35503.0,21678.0
36.49,1272,1269,38442.0,21026.0
55.9,920,936,6508.0,24871.0
36.6,1446,998,4842.0,21698.0
81.38,1027,788,38370.0,24659.0
30.31,1421,1395,25365.0,24426.0
77.13,1456,1107,36102.0,14444.0
56.68,956,828,44011.0,2242.0
19.11,954,1139,27783.0,24815.0
17.53,710,682,37115.0,5740.0
74.94,656,1343,25437.0,6213.0
86.93,1268,1362,8441.0,43096.0
11.16,1013,775,5625.0,31987.0
26.94,700,1401,18049.0,10429.0
47.69,556,623,21701.0,49624.0
66.95,977,545,5914.0,21417.0
70.76,1085,1401,45725.0,19682.0
86.7,1313,1284,35082.0,27086.0
13.86,763,933,15553.0,20903.0
38.1,1252,958,25671.0,14899.0
30.63,993,1308,45579.0,19700.0
68.8,914,546,5382.0,42117.0
17.9,746,1077,29819.0,30610.0
39.89,1382,1228,6621.0,20305.0
15.84,1493,1417,41090.0,11745.0
50.87,886,1070,14397.0,22796.0
42.56,1422,711,37856.0,37760.0
76.37,1128,766,38324.0,1028.0
34.51,616,1295,19457.0,19859.0
84.41,723,1428,38390.0,32702.0
56.37,544,982,43374.0,28418.0
53.13,534,821,18032.0,27844.0
38.97,735,1381,37925.0,37432.0
73.66,701,1249,27066.0,24099.0
68.31,558,1211,32600.0,25290.0
85.54,1327,1326,17229.0,21567.0
71.41,866,611,9283.0,24422.0
54.0,881,604,42611.0,10224.0
86.09,1236,1012,47998.0,27757.0
22.76,820,614,11584.0,17988.0
43.52,904,600,14714.0,31657.0
43.63,1412,762,30615.0,6609.0
64.44,981,535,14318.0,1392.0
46.76,907,745,46446.0,46120.0
47.67,1117,861,44043.0,48908.0
57.08,1078,650,1346.0,12429.0
52.42,1214,1425,3751.0,48621.0
33.49,777,896,29875.0,19209.0
49.39,1010,618,43230.0,17692.0
15.72,822,1398,34878.0,23826.0
24.66,898,773,42974.0,12480.0
15.36,1461,959,31436.0,29646.0
20.16,799,722,41525.0,49510.0
50.2,634,1287,4875.0,19160.0
40.78,1036,1450,8861.0,15004.0
87.09,575,1324,14173.0,43923.0
19.5,1433,1341,18392.0,28044.0
33.34,1374,1341,17536.0,27143.0
53.18,1464,854,22627.0,11764.0
54.11,1101,1412,28277.0,28692.0
78.73,1324,1383,8139.0,6413.0
16.88,1434,1048,32416.0,6970.0
88.81,1006,689,49819.0,9832.0
77.59,547,555,1881.0,7299.0
27.93,579,1282,7724.0,7228.0
26.34,1036,1198,41574.0,22058.0
15.06,962,736,24205.0,25065.0
70.55,669,1452,26980.0,41735.0
52.34,1465,748,39864.0,17182.0
87.96,884,1334,43194.0,47457.0
12.11,608,625,39358.0,11474.0
46.4,1111,742,30211.0,6840.0
12.76,1017,1219,14486.0,22670.0
63.56,1422,882,26871.0,30039.0
18.38,608,677,26467.0,47547.0
66.06,819,1185,36533.0,9805.0
85.08,1012,652,4656.0,7968.0
88.99,1219,1192,2111.0,24958.0
81.62,613,1197,25885.0,16745.0
12.14,1421,760,16572.0,35417.0
55.29,784,1132,3698.0,49497.0
79.64,1282,546,22570.0,49613.0
71.28,874,1440,7720.0,7026.0
61.88,1333,844,35527.0,49032.0
64.48,552,1216,3027.0,39904.0
14.04,687,523,16140.0,14933.0
12.03,640,868,17016.0,16245.0
26.52,981,1307,46877.0,41850.0
18.71,1117,1477,16988.0,25251.0
46.95,1397,1440,11885.0,6064.0
81.04,1316,1403,14818.0,20043.0
48.06,1382,725,6010.0,44089.0
26.75,741,1152,7033.0,26286.0
57.12,1156,1359,8180.0,42724.0
41.78,1207,926,14527.0,12940.0
40.43,1391,946,7184.0,3161.0
87.66,1381,1392,16648.0,25431.0
71.58,1325,709,20454.0,22843.0
60.74,789,1400,27855.0,25358.0
35.1,1386,552,46347.0,20700.0
76.56,937,666,5220.0,21049.0
55.03,1110,1233,16703.0,11395.0
79.39,773,752,41896.0,3513.0
83.05,1174,965,30488.0,24100.0
12.51,1292,907,25850.0,31519.0
17.96,579,751,7095.0,21166.0
38.68,1341,952,38372.0,26588.0
11.27,998,1228,35725.0,2176.0
65.45,1400,1079,30190.0,32056.0
15.43,732,772,8395.0,34974.0
60.09,862,753,38325.0,15334.0
33.1,1046,1459,3797.0,18579.0
48.0,625,1102,45009.0,33420.0
44.1,1221,1242,4755.0,38914.0
47.92,1426,1392,22055.0,41267.0
41.35,1263,1457,33532.0,4345.0
63.61,1238,965,40298.0,30455.0
49.61,824,1038,44090.0,8003.0
50.09,806,1255,9925.0,1924.0
45.8,1432,1257,37815.0,47379.0
48.44,1043,1284,2876.0,33708.0
60.29,759,622,2319.0,43772.0
75.22,584,630,40946.0,22669.0
42.44,927,938,6651.0,46468.0
26.97,1024,549,21197.0,45022.0
87.56,1449,1156,22860.0,46450.0
88.13,1229,1335,36744.0,20862.0
17.13,1484,1085,42050.0,14526.0
66.15,1398,910,49757.0,46718.0
60.83,883,1243,49130.0,36177.0
36.88,1481,863,48049.0,11742.0
18.17,825,1269,27119.0,27952.0
10.36,1161,510,30032.0,39847.0
44.03,1369,1206,7181.0,28083.0
86.37,594,1266,21532.0,24240.0
36.08,1227,892,32986.0,38186.0
31.49,599,1112,14984.0,6551.0
40.69,835,759,32301.0,2518.0
17.3,1083,1188,9531.0,14966.0
43.18,534,707,34146.0,42601.0
10.06,1057,1027,21700.0,5178.0
36.33,1075,1058,11689.0,42745.0
53.36,1183,613,45789.0,20531.0
22.85,655,740,39660.0,42304.0
86.53,1216,927,27974.0,48283.0
75.87,743,899,7896.0,22008.0
11.29,1415,909,44206.0,14959.0
72.38,1046,544,11644.0,37364.0
20.99,795,559,6345.0,42702.0
75.9,722,1348,7713.0,48507.0
84.89,1436,622,1145.0,15992.0
50.26,700,574,15945.0,48457.0
20.61,1215,1477,29274.0,5076.0
20.64,1052,1233,40155.0,41484.0
52.33,1234,1357,49281.0,48420.0
48.94,1338,501,40516.0,19295.0
34.25,1083,1304,41232.0,36649.0
72.56,1115,1133,26503.0,42353.0
28.82,1203,776,39015.0,9472.0
10.15,835,611,45544.0,33601.0
47.03,911,1102,2608.0,11949.0
79.27,1326,908,25548.0,24170.0
40.83,967,536,1696.0,44078.0
89.31,961,855,38018.0,44220.0
80.32,1088,1366,19743.0,8736.0
21.1,1272,745,11459.0,26267.0
27.14,1352,1023,5441.0,14930.0
89.02,1437,1007,25475.0,33967.0
13.01,1351,571,20412.0,23441.0
74.19,1180,982,30197.0,30691.0
78.99,1279,1086,12064.0,39699.0
52.3,1331,649,19997.0,4759.0
51.91,1431,1098,26502.0,28026.0
41.57,524,1240,7744.0,48036.0
68.37,1451,680,13303.0,48367.0
24.36,1087,965,11770.0,6671.0
48.0,1451,1330,19888.0,45770.0
79.76,1449,516,21532.0,47100.0
53.88,1398,905,38209.0,15761.0
13.11,1077,876,44416.0,16726.0
75.42,1459,532,6162.0,49351.0
50.78,997,603,19901.0,10534.0
57.74,677,687,19408.0,47185.0
44.73,1127,1074,37479.0,7190.0
53.99,1300,1297,12328.0,29833.0
69.91,576,1208,8438.0,49306.0
68.74,1052,1067,2298.0,23355.0
11.21,624,954,39260.0,28906.0
75.62,1460,1009,20091.0,30361.0
85.33,1483,958,19649.0,2485.0
44.74,967,1044,31813.0,31682.0
87.54,624,508,39283.0,37392.0
85.17,873,1054,24752.0,9158.0
81.36,1037,514,23864.0,8235.0
40.17,1303,1149,25807.0,40193.0
82.56,581,1395,38108.0,6249.0
28.33,535,755,46658.0,49160.0
78.66,523,563,40884.0,7293.0
69.75,958,543,25920.0,11510.0
72.14,568,1456,25054.0,3099.0
56.42,662,786,49525.0,47225.0
59.53,529,800,46432.0,29375.0
84.4,1313,792,48045.0,40377.0
84.75,638,1078,12654.0,36066.0
36.98,522,1354,24976.0,3111.0
33.15,1309,913,48048.0,46059.0
50.42,759,1163,7179.0,10201.0
28.6,1256,1071,33174.0,18195.0
54.09,1476,1333,1668.0,25372.0
42.68,632,890,30213.0,6826.0
11.79,807,578,22776.0,29167.0
24.92,674,1180,41770.0,43789.0
71.02,771,569,26582.0,23455.0
24.63,1259,549,18409.0,41342.0
14.34,533,1132,47003.0,15076.0
48.56,1162,1296,27567.0,10213.0
61.96,1223,607,28217.0,35606.0
26.48,975,530,7557.0,5152.0
45.35,513,609,35246.0,27210.0
32.86,517,873,32644.0,24198.0
12.94,960,1464,14418.0,39114.0
81.21,1231,713,8704.0,40550.0
35.52,790,749,34581.0,31976.0
20.56,1164,1490,7130.0,24306.0
73.47,1323,1125,9447.0,30129.0
31.97,769,1450,16246.0,48455.0
56.59,1484,602,1182.0,22384.0
74.05,1216,1101,17438.0,37592.0
36.39,925,1451,43539.0,26876.0
69.38,665,1173,3227.0,11242.0
11.94,572,1391,27429.0,42092.0
58.93,572,535,43451.0,47329.0
